
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
00000;255;00000;255;
00000;00000;00043;00538;00059;00722;00421;00483;00000;000;00003;007;
00106;00548;00137;00334;00016;00134;00015;00130;00000;000;00002;000;
00071;00080;02554;16892;01851;18511;01912;18466;09510;11041;02673;00000;00026;02276;01795;18596;00035;000;06059;255;
01834;11538;02681;18877;01909;20939;01994;20930;00035;000;08392;000;
10494;12420;02901;19857;01840;19245;01798;19067;00035;000;06353;000;
09920;11674;02646;19029;01875;21062;01964;21055;00036;000;08514;000;
10506;12528;02911;20289;01907;21417;01982;21799;00035;000;09278;000;
11273;13333;02967;21825;02104;24602;02246;24634;00036;000;00296;001;
12116;14647;03400;23711;02156;24692;02252;25293;00035;000;00064;001;
13021;15507;03421;25438;02443;29438;02662;29549;00035;000;03439;001;
14312;17628;04173;26220;01996;20049;01869;19651;00036;000;07064;000;
10241;12098;02737;19693;01949;21837;02045;21833;00036;000;09420;000;
10895;13048;03049;20940;01927;21142;01959;21303;00035;000;08771;000;
11013;13063;02927;21339;02075;23964;02203;23982;00035;000;11718;000;
11836;14244;03313;22534;01972;20605;01887;20319;00035;000;07740;000;
10535;12465;02800;20298;01981;22605;02088;22601;00035;000;10218;000;
11223;13474;03131;21774;02013;22608;02074;22932;00035;000;10538;000;
11841;14091;03125;23028;02216;26117;02375;26156;00036;000;01260;001;
12806;15544;03610;25136;02247;24842;02242;24869;00035;000;12652;000;
12855;15208;03368;24969;02407;28823;02621;28922;00036;000;03052;001;
14030;17109;04023;24991;01913;19364;01825;19106;00035;000;06477;000;
09951;11724;02669;19075;01892;21078;01981;21065;00035;000;08580;000;
10537;12583;02939;20304;01902;20962;01943;21201;00035;000;08641;000;
10959;13004;02908;21258;02064;23860;02191;23874;00035;000;11587;000;
11786;14166;03290;22260;01927;20044;01838;19759;00035;000;07131;000;
10246;12120;02719;19717;01927;21882;02019;21869;00035;000;09411;000;
10872;13044;03019;21108;01967;22176;02035;22568;00035;000;10122;000;
11643;13853;03074;22667;02181;25692;02330;25728;00035;000;01003;001;
12589;15260;03527;23585;01937;19917;01827;19585;00035;000;06959;000;
10161;12016;02705;19552;01911;21667;02005;21653;00035;000;09189;000;
10787;12920;02994;20839;01928;21444;01973;21676;00035;000;09160;000;
11198;13304;02955;21741;02096;24455;02230;24472;00035;000;00191;001;
12040;14527;03369;22892;01976;20554;01874;20230;00036;000;07638;000;
10487;12404;02777;20204;01967;22469;02073;22462;00035;000;10064;000;
11157;13390;03108;21372;01914;20429;01860;20220;00036;000;07604;000;
10456;12403;02774;20173;01958;22447;02062;22440;00035;000;10027;000;
11134;13360;03089;21275;01894;20136;01837;19907;00035;000;07268;000;
10297;12209;02730;19855;01929;22051;02024;22038;00036;000;09583;000;
10939;13133;03026;21086;01921;21089;01916;21074;00035;000;08507;000;
10881;12893;02863;21021;02030;23529;02145;23527;00036;000;11204;000;
11606;13984;03230;21993;01904;19849;01808;19559;00035;000;06899;000;
10128;11984;02684;19503;01896;21605;01987;21582;00036;000;09087;000;
10740;12869;02967;20531;01850;19958;01822;19815;00035;000;07146;000;
10245;12143;02704;19755;01914;21930;02010;21909;00036;000;09424;000;
10870;13044;03000;20827;01873;20269;01842;20123;00036;000;07473;000;
10406;12326;02748;20066;01940;22312;02041;22301;00035;000;09858;000;
11050;13270;03055;21191;01892;20428;01851;20261;00036;000;07630;000;
10464;12409;02763;20202;01953;22480;02058;22467;00036;000;10045;000;
11136;13368;03085;21303;01890;20257;01838;20055;00036;000;07417;000;
10359;12292;02743;19994;01936;22223;02034;22208;00036;000;09762;000;
11012;13222;03045;21246;01934;21263;01932;21247;00035;000;08698;000;
10971;13000;02886;21197;02040;23750;02162;23750;00036;000;11441;000;
11705;14109;03264;21828;01833;19009;01753;18759;00035;000;06046;000;
09736;11491;02578;18704;01823;20623;01906;20593;00036;000;08011;000;
10276;12283;02833;19826;01845;20579;01886;20825;00035;000;08201;000;
10736;12771;02843;20874;02006;23397;02127;23394;00036;000;11039;000;
11532;13865;03196;21737;01865;19462;01777;19181;00036;000;06490;000;
09928;11757;02633;19118;01858;21136;01944;21108;00036;000;08563;000;
10503;12590;02892;20152;01840;20115;01839;20116;00036;000;07449;000;
10387;12296;02735;20042;01935;22289;02038;22276;00036;000;09820;000;
11025;13244;03045;20964;01847;19564;01781;19312;00035;000;06611;000;
09981;11836;02638;19241;01863;21286;01951;21257;00036;000;08713;000;
10574;12670;02914;20408;01878;21078;01925;21324;00035;000;08759;000;
10991;13076;02896;21360;02047;23973;02172;23974;00036;000;11677;000;
11796;14233;03282;22569;01958;20539;01862;20210;00036;000;07604;000;
10466;12388;02774;20163;01954;22422;02057;22411;00036;000;10001;000;
11113;13359;03087;21258;01900;20422;01860;20249;00035;000;07630;000;
10482;12403;02770;20201;01955;22475;02062;22459;00035;000;10042;000;
11136;13373;03089;21106;01844;19366;01769;19117;00035;000;06406;000;
09892;11712;02624;19047;01849;21045;01935;21023;00035;000;08466;000;
10463;12530;02878;20169;01859;20562;01881;20673;00035;000;08048;000;
10659;12652;02806;20634;01986;23036;02097;23029;00035;000;10645;000;
11372;13680;03151;21443;01845;19311;01763;19053;00036;000;06345;000;
09859;11663;02610;18980;01845;20955;01928;20927;00036;000;08362;000;
10418;12485;02873;20155;01874;21043;01923;21336;00036;000;08757;000;
11008;13068;02901;21376;02049;24007;02179;24004;00035;000;11705;000;
11807;14244;03287;22351;01910;19839;01803;19498;00036;000;06835;000;
10088;11961;02674;19437;01887;21520;01978;21492;00035;000;08994;000;
10695;12820;02951;20687;01909;21409;01963;21697;00036;000;09165;000;
11186;13329;02958;21778;02091;24507;02225;24515;00035;000;00220;001;
12048;14555;03365;22904;01961;20443;01857;20108;00035;000;07501;000;
10407;12327;02758;20057;01951;22286;02053;22272;00035;000;09856;000;
11048;13282;03076;21251;01921;20855;01902;20788;00036;000;08207;000;
10726;12735;02835;20729;02003;23148;02119;23140;00036;000;10787;000;
11441;13760;03188;21805;01918;20222;01843;19958;00035;000;07331;000;
10327;12235;02735;19899;01935;22089;02032;22068;00035;000;09624;000;
10960;13153;03039;20962;01877;20158;01836;19964;00035;000;07312;000;
10323;12230;02732;19898;01931;22095;02030;22076;00035;000;09618;000;
10951;13145;03035;20952;01874;20044;01824;19842;00036;000;07177;000;
10259;12155;02716;19777;01914;21950;02012;21927;00035;000;09452;000;
10891;13052;03008;20689;01828;19416;01773;19186;00035;000;06470;000;
09933;11752;02619;19122;01851;21129;01939;21097;00035;000;08537;000;
10497;12578;02881;20108;01816;19613;01786;19468;00035;000;06750;000;
10067;11914;02655;19394;01877;21470;01967;21443;00036;000;08907;000;
10645;12764;02926;20325;01814;19469;01768;19279;00036;000;06545;000;
09962;11796;02631;19195;01855;21224;01941;21194;00036;000;08634;000;
10528;12624;02902;20218;01836;20010;01819;19919;00035;000;07238;000;
10279;12193;02708;19839;01909;22022;02009;22002;00035;000;09519;000;
10896;13088;03005;20972;01895;20837;01890;20804;00036;000;08212;000;
10729;12723;02826;20720;01994;23139;02102;23124;00036;000;10748;000;
11416;13745;03167;21784;01912;20394;01850;20156;00035;000;07537;000;
10415;12346;02755;20088;01945;22327;02045;22305;00035;000;09876;000;
11054;13290;03063;21327;01937;21368;01942;21387;00036;000;08854;000;
11040;13077;02902;21324;02057;23899;02178;23896;00036;000;11607;000;
11769;14192;03280;22016;01857;19285;01772;19022;00035;000;06326;000;
09868;11645;02611;18958;01845;20926;01926;20893;00036;000;08328;000;
10409;12465;02870;20102;01864;20792;01909;21005;00036;000;08412;000;
10837;12883;02859;21021;02021;23525;02139;23518;00035;000;11175;000;
11593;13969;03226;21795;01863;19489;01784;19228;00036;000;06542;000;
09952;11778;02642;19154;01862;21170;01951;21143;00036;000;08607;000;
10519;12613;02903;20243;01853;20272;01847;20238;00036;000;07585;000;
10450;12370;02757;20160;01943;22434;02049;22418;00035;000;09979;000;
11104;13330;03071;21113;01856;19682;01793;19434;00035;000;06743;000;
10054;11909;02657;19367;01875;21435;01965;21407;00035;000;08884;000;
10636;12757;02929;20383;01838;19804;01802;19629;00036;000;06930;000;
10148;12016;02679;19553;01889;21663;01981;21635;00035;000;09127;000;
10736;12891;02962;20575;01852;20094;01823;19969;00035;000;07299;000;
10312;12212;02722;19888;01919;22076;02020;22058;00036;000;09586;000;
10931;13127;03020;20958;01879;20375;01846;20227;00035;000;07583;000;
10448;12380;02757;20157;01943;22414;02045;22389;00035;000;09955;000;
11095;13322;03066;20981;01828;19258;01759;19013;00035;000;06290;000;
09838;11647;02598;18943;01833;20900;01921;20870;00035;000;08290;000;
10394;12446;02846;19988;01828;20060;01831;20051;00035;000;07378;000;
10338;12262;02728;19952;01928;22166;02022;22149;00035;000;09679;000;
10967;13171;03025;20808;01825;19284;01753;19024;00035;000;06288;000;
09837;11645;02599;18937;01832;20899;01918;20867;00035;000;08283;000;
10388;12442;02860;19936;01817;19914;01812;19875;00036;000;07174;000;
10246;12157;02701;19776;01905;21944;02002;21922;00036;000;09421;000;
10862;13037;02991;20833;01868;20272;01834;20090;00036;000;07435;000;
10372;12304;02730;20010;01929;22225;02028;22201;00036;000;09739;000;
10998;13216;03037;20985;01855;19838;01804;19620;00035;000;06943;000;
10133;12019;02682;19535;01891;21631;01984;21603;00035;000;09097;000;
10726;12879;02963;20731;01901;21133;01924;21233;00035;000;08665;000;
10936;12989;02872;21166;02033;23685;02153;23672;00035;000;11358;000;
11663;14063;03248;22367;01972;21068;01903;20819;00035;000;08256;000;
10748;12762;02837;20770;02003;23182;02120;23161;00035;000;10815;000;
11450;13785;03190;21896;01931;20513;01864;20283;00035;000;07676;000;
10487;12426;02772;20224;01960;22485;02065;22460;00036;000;10056;000;
11140;13382;03090;21274;01890;20104;01834;19874;00036;000;07230;000;
10278;12179;02725;19804;01924;21968;02021;21948;00035;000;09487;000;
10898;13070;03019;20967;01896;20584;01870;20456;00035;000;07836;000;
10576;12515;02788;20394;01968;22703;02078;22682;00035;000;10282;000;
11232;13491;03116;21590;01933;20813;01887;20622;00036;000;08040;000;
10647;12635;02817;20563;01984;22927;02091;22909;00035;000;10530;000;
11332;13633;03152;21816;01954;21207;01923;21064;00036;000;08516;000;
10875;12905;02875;21017;02031;23503;02146;23491;00035;000;11167;000;
11592;13972;03237;21728;01841;19104;01759;18835;00035;000;06125;000;
09766;11537;02588;18763;01830;20686;01910;20648;00035;000;08064;000;
10299;12325;02842;19925;01862;20940;01921;21264;00036;000;08671;000;
10971;12995;02886;21234;02038;23781;02162;23773;00035;000;11457;000;
11714;14148;03274;22598;02006;21621;01947;21396;00035;000;08876;000;
11047;13134;02923;21377;02061;23952;02184;23942;00036;000;11662;000;
11804;14252;03303;22600;01979;20979;01907;20728;00036;000;08171;000;
10723;12707;02845;20678;02010;23063;02117;23048;00035;000;10699;000;
11403;13741;03193;21703;01910;20112;01836;19861;00035;000;07228;000;
10295;12156;02730;19799;01923;21957;02024;21927;00035;000;09473;000;
10901;13071;03024;20875;01884;20432;01865;20335;00036;000;07710;000;
10506;12450;02783;20257;01960;22543;02064;22525;00036;000;10109;000;
11162;13407;03096;21202;01864;19710;01800;19473;00035;000;06796;000;
10068;11932;02673;19393;01889;21456;01976;21428;00036;000;08913;000;
10655;12786;02944;20603;01902;21148;01932;21294;00036;000;08734;000;
10980;13035;02889;21254;02044;23785;02162;23769;00035;000;11462;000;
11718;14133;03264;22352;01947;20559;01864;20290;00035;000;07687;000;
10491;12424;02779;20225;01958;22491;02064;22465;00035;000;10058;000;
11142;13386;03101;21434;01929;20970;01909;20880;00035;000;08310;000;
10786;12780;02848;20819;02007;23253;02123;23239;00036;000;10891;000;
11478;13823;03197;21921;01919;20086;01831;19794;00035;000;07155;000;
10236;12133;02718;19722;01919;21858;02013;21833;00035;000;09368;000;
10847;13023;03009;20865;01893;20682;01883;20630;00035;000;08022;000;
10659;12609;02811;20553;01984;22909;02095;22891;00035;000;10511;000;
11326;13615;03150;21261;01826;19053;01749;18814;00036;000;06086;000;
09742;11521;02580;18736;01822;20652;01905;20617;00036;000;08028;000;
10284;12303;02818;19813;01825;20182;01847;20268;00035;000;07603;000;
10448;12395;02751;20202;01948;22469;02050;22452;00035;000;10007;000;
11102;13358;03070;21126;01848;19471;01771;19211;00036;000;06499;000;
09930;11757;02629;19124;01854;21121;01940;21090;00036;000;08536;000;
10488;12576;02894;20210;01855;20602;01880;20734;00035;000;08112;000;
10677;12694;02812;20687;01984;23074;02100;23058;00035;000;10676;000;
11387;13701;03159;21556;01871;19702;01797;19436;00036;000;06764;000;
10044;11911;02663;19355;01876;21405;01967;21374;00035;000;08852;000;
10625;12753;02936;20393;01845;20139;01833;20087;00036;000;07419;000;
10363;12278;02732;19988;01930;22201;02029;22174;00036;000;09716;000;
10985;13193;03039;20839;01829;19310;01757;19073;00035;000;06340;000;
09851;11681;02612;18976;01837;20944;01922;20908;00035;000;08327;000;
10407;12468;02861;20069;01848;20649;01885;20837;00035;000;08216;000;
10718;12772;02830;20811;01996;23243;02108;23223;00036;000;10853;000;
11455;13810;03182;21639;01859;19507;01781;19233;00035;000;06543;000;
09943;11786;02631;19151;01858;21146;01946;21114;00036;000;08571;000;
10501;12604;02901;20257;01863;20703;01892;20845;00036;000;08236;000;
10740;12754;02832;20802;02000;23222;02114;23204;00035;000;10835;000;
11450;13793;03183;21727;01882;19764;01797;19495;00035;000;06821;000;
10079;11941;02667;19416;01879;21472;01970;21442;00035;000;08931;000;
10655;12790;02942;20526;00000;00061;01443;20738;
