
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
00000;255;00000;255;
00000;00000;00107;00792;00072;00888;00076;00766;00000;000;00002;000;
00374;00548;00134;00327;00015;00131;00015;00127;00001;000;00002;000;
00070;00078;02519;16505;01813;18052;01870;17979;00035;000;00256;000;
09311;10744;02621;17394;01739;17491;01719;17300;00035;000;04473;000;
00000;00028;01256;10628;02475;17342;01757;19047;00036;000;06282;255;
01826;11290;02632;18302;01752;19013;01789;19109;00036;000;06350;000;
09906;11673;02644;19067;01870;21160;01963;21146;00035;000;08580;000;
10528;12538;02883;20013;01816;19238;01757;19015;00035;000;06268;000;
09832;11659;02608;18955;01841;20962;01929;20949;00036;000;08375;000;
10426;12458;02855;19925;01810;19521;01781;19382;00035;000;06649;000;
10016;11875;02645;19320;01872;21407;01962;21391;00036;000;08849;000;
10617;12727;02916;20293;01826;19728;01790;19554;00036;000;06843;000;
10100;11982;02668;19496;01882;21621;01976;21602;00036;000;09077;000;
10717;12853;02951;20615;01875;20650;01873;20636;00035;000;08014;000;
10642;12627;02803;20572;01975;22969;02090;22964;00036;000;10573;000;
11340;13645;03139;21658;01903;20166;01830;19903;00036;000;07264;000;
10291;12201;02720;19852;01927;22042;02024;22038;00035;000;09585;000;
10928;13117;03023;20968;01884;20350;01846;20164;00035;000;07520;000;
10415;12365;02754;20116;01944;22374;02048;22366;00036;000;09933;000;
11084;13302;03063;21389;01943;21415;01942;21400;00035;000;08866;000;
11044;13102;02901;21356;02055;23952;02181;23956;00035;000;11668;000;
11801;14229;03291;22502;01954;20515;01862;20210;00036;000;07610;000;
10459;12394;02773;20166;01961;22426;02064;22419;00036;000;10015;000;
11119;13354;03092;21309;01909;20583;01874;20452;00035;000;07849;000;
10571;12528;02796;20406;01978;22741;02085;22733;00036;000;10338;000;
11261;13528;03129;21499;01911;20482;01865;20275;00035;000;07662;000;
10492;12433;02771;20242;01962;22532;02065;22526;00035;000;10113;000;
11152;13413;03096;21279;01887;20022;01820;19753;00036;000;07095;000;
10228;12100;02700;19703;01912;21854;02009;21835;00036;000;09364;000;
10841;13003;03001;20727;01858;19913;01812;19708;00035;000;07034;000;
10197;12077;02693;19658;01903;21797;01999;21779;00036;005;09289;000;
10807;12969;02975;15844;00000;00125;06364;19361;00000;000;00000;000;
