
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
00000;255;00000;255;
00000;00000;00148;00361;00016;00134;00015;00129;00001;000;00001;000;
00070;00080;02568;16769;01855;18371;01908;18315;00035;000;00259;000;
09476;10959;02666;17768;01789;18334;01806;18427;00035;000;05678;000;
09670;11311;02635;18507;01882;20488;01957;20483;00035;000;07905;000;
10300;12158;02842;19507;01825;19121;01783;18937;00035;000;06204;000;
09851;11613;02633;18913;01861;00000;00025;17971;00035;000;00028;007;
01951;00000;02889;20054;01870;20535;01893;20666;00036;000;00243;001;
10667;12665;02827;20663;02001;23128;02115;23144;00036;000;00262;000;
11439;13737;03177;22231;02041;23076;02099;23338;00036;000;10972;000;
12035;14329;03164;23396;02243;26634;02411;26690;00035;000;01612;001;
13031;15845;03686;25165;02174;23412;02117;23263;00036;000;10923;000;
12027;14256;03184;23332;02264;26585;02432;26649;00035;000;01599;001;
13023;15801;03692;24358;01991;20274;01878;19933;00035;000;07353;000;
10362;12248;02763;19929;01961;22133;02060;22129;00035;000;09725;000;
11024;13210;03078;21359;01987;22224;02055;22566;00035;000;10145;000;
11667;13860;03092;22694;02196;25723;02345;25765;00036;000;01017;001;
12628;15283;03561;23651;01955;20056;01846;19735;00035;000;07126;000;
10252;12106;02729;19711;01933;21868;02028;21857;00035;000;09418;000;
10888;13039;03027;21036;01945;21612;01989;21840;00035;000;09351;000;
11284;13410;02973;21903;02115;24665;02253;24685;00035;000;00322;001;
12148;14656;03399;23042;01983;20672;01886;20378;00036;000;07803;000;
10563;12491;02803;20352;01986;22664;02094;22664;00036;000;10292;000;
11248;13508;03138;21616;01954;21274;01941;21234;00035;000;08704;000;
10971;13011;02893;21212;02051;23769;02176;23779;00035;000;11486;000;
11744;14129;03279;21671;01814;18743;01739;18507;00036;000;05777;000;
09602;11347;02551;18457;01807;20326;01886;20305;00035;000;07240;255;
