
 *
 *
 *
 XTZ 660 pickup decoder booting ...  
  
"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";"Act";"Act_Pos";"Deact";"Deact_Pos";  
00000;255;00000;255;
00000;00000;00147;00361;00016;00130;00015;00125;00000;000;00002;000;
00069;00077;02475;16275;01798;17703;01847;17626;00036;000;00260;000;
09144;10596;02587;17017;01667;16203;01608;15902;00036;000;02972;000;
08387;09745;02298;15878;01627;17272;01673;17212;00035;000;04348;000;
08775;10263;02421;16594;01604;16999;01610;16971;00035;000;04048;000;
08827;10370;02352;16880;01652;18465;01723;18419;09268;00000;00033;00000;00026;05620;02512;17436;00035;000;02064;007;
01584;10175;02290;16529;01606;18031;01664;17988;00035;000;00230;001;
09029;10721;02444;17398;01632;18438;01692;18681;00035;000;00256;000;
09635;11408;02536;18599;01775;20503;01856;20481;00035;000;07799;000;
10183;12221;02782;19520;01743;18829;01695;18608;00035;000;05782;000;
09598;11407;02532;18526;01773;20406;01854;20381;00036;000;07715;000;
10128;12168;02762;19685;01812;20726;01880;21049;00036;000;08411;000;
10811;12875;02839;21024;01998;23525;02118;23533;00036;000;11169;000;
11578;14025;03225;22369;01965;21158;01890;20875;00035;000;08300;000;
10769;12779;02843;20861;02003;23309;02125;23315;00036;000;10974;000;
11505;13877;03203;22291;01999;21932;01979;21830;00035;000;09343;000;
11268;13347;02962;21834;02101;24578;02239;24602;00035;000;00287;001;
12089;14609;03385;22881;01947;20162;01839;19861;00036;000;07235;000;
10287;12149;02737;19816;01932;22003;02031;21989;00035;000;09554;000;
10938;13112;03036;21148;01945;21638;01980;21811;00035;000;09309;000;
11262;13349;02962;21806;02099;24507;02235;24518;00035;000;00220;001;
12066;14579;03379;22660;01899;19646;01807;19384;00035;000;06725;000;
10047;11866;02670;19320;01888;21378;01977;21356;00035;000;08857;000;
10641;12740;02948;20511;01891;20833;01908;20901;00035;000;08316;000;
10796;12761;02842;20847;02013;23293;02127;23296;00036;000;10945;000;
11507;13842;03199;21674;01857;19295;01767;19037;00035;000;06333;000;
09859;11644;02627;18949;01849;20927;01932;20906;00036;000;08350;000;
10417;12472;02875;20060;01842;20185;01841;20190;00035;000;07528;000;
10424;12318;02746;20106;01941;22369;02044;22357;00036;000;09907;000;
11076;13289;03057;21040;01842;19464;01774;19217;00035;000;06512;000;
09934;11759;02636;19130;01857;21148;01942;21126;00035;000;08573;000;
10509;12600;02885;20287;01864;20595;01880;20649;00035;000;08026;000;
10640;12612;02804;20563;01978;22934;02090;22924;00036;000;10532;000;
11331;13636;03145;21112;01776;18544;01706;18328;00036;000;05557;000;
09480;11222;02518;18231;01772;20038;01850;20003;00035;000;07350;000;
09999;11941;02725;19177;01760;19213;01754;19184;00036;000;06408;000;
09895;11710;02614;19070;01839;21081;01927;21058;00035;000;08468;000;
10464;12530;02860;19801;01739;18360;01676;18150;00036;000;05312;000;
09379;11093;02483;18038;01741;19816;01819;19778;00035;000;07074;000;
09869;11795;02683;19053;01758;19625;01789;19710;00035;000;06965;000;
10143;12047;02673;19618;01882;21751;01976;21733;00036;000;09195;000;
10755;12940;02948;20732;01866;20376;01832;20242;00035;000;07578;000;
10420;12371;02750;20156;01937;22432;02041;22415;00035;000;09974;000;
11085;13334;03062;21330;01901;20427;01838;20173;00035;000;07535;000;
10418;12333;02746;20114;01938;22367;02040;22348;00036;000;09906;000;
11066;13307;03057;21297;01911;20693;01873;20545;00035;000;07942;000;
10600;12564;02801;20491;01977;22848;02085;22839;00035;000;10445;000;
11289;13588;03126;21797;01965;21408;01936;21298;00036;000;08766;000;
10990;13024;02895;21268;02050;23843;02173;23847;00036;000;11557;000;
11749;14163;03278;22434;01960;20534;01861;20221;00035;000;07616;000;
10466;12359;02773;20182;01958;22447;02062;22437;00035;000;10029;000;
11124;13355;03080;21593;01991;22345;02040;22554;00035;000;10126;000;
11633;13823;03068;22559;02170;25505;02315;25524;00036;000;00858;001;
12512;15156;03528;23924;02043;21255;01929;20946;00036;000;08416;000;
10835;12808;02874;20911;02039;23374;02156;23373;00035;000;11062;000;
11565;13912;03239;22449;02053;22792;02083;22887;00035;000;10507;000;
11822;13973;03108;22878;02208;25936;02367;25960;00036;000;01143;001;
12721;15401;03581;23693;01938;19845;01836;19556;00035;000;06933;000;
10148;11974;02712;19500;01916;21603;02008;21581;00035;000;09123;000;
10758;12878;02991;20843;01944;21852;02017;22207;00035;000;09737;000;
11451;13577;03020;22195;02138;24992;02279;25003;00036;000;00526;001;
12290;14912;03452;23745;02055;21347;01928;20888;00035;000;08357;000;
10827;12792;02871;20889;02032;23324;02147;23319;00035;000;11002;000;
11555;13962;03258;22061;01927;19947;01821;19599;00036;000;06952;000;
10167;11995;02710;19530;01908;21574;01993;21550;00036;000;09060;000;
10777;13053;03056;20457;01740;17679;01640;17297;00035;000;04435;000;
08996;10605;02393;17222;01681;18752;01741;18700;00036;000;05909;000;
09432;11355;02627;17904;01570;16175;01503;15846;00035;000;02798;000;
08220;09711;02193;15746;01532;17041;01582;16975;00035;000;04016;000;
08591;10277;02354;16258;01440;14890;01388;14598;00036;000;01450;000;
07558;08901;02043;14478;01411;15588;01442;15515;00036;000;02398;000;
07857;09364;02141;14815;01334;13857;01292;13592;00035;000;00900;000;
07038;08271;01906;13467;01309;14445;01341;14369;00036;000;01103;000;
07280;08666;01987;13645;01227;12878;01201;12656;00035;000;12378;007;
