"A1";"A2";"B1";"B2";"C1";"C2";"D1";"D2";  
14040;17553;03510;28075;01759;29834;01758;29835;
12888;16106;03222;25770;01614;27378;01615;27378;
12888;16105;03223;25770;01614;27378;01614;27378;
11855;14817;02966;23706;01486;25194;01487;25194;
11856;14816;02967;23705;01487;25193;01486;25194;
10935;13665;02735;21865;01366;23234;01367;23233;
10936;13664;02734;21865;01366;23234;01366;23234;
10103;12633;02526;20209;01262;21473;01262;21474;
10104;12632;02526;20209;01262;21473;01262;21474;
09358;11705;02342;18721;01174;19889;01174;19889;
09359;11704;02342;18721;01175;19889;01174;19889;
09879;12352;02471;19760;01239;20994;01238;20993;
09880;12352;02470;19761;01238;20994;01239;20993;
09878;12353;02471;19760;01238;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20994;
09879;12353;02470;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12352;02471;19761;01238;20993;01238;20993;
09879;12352;02471;19762;01239;20994;01239;20993;
09879;12352;02471;19761;01238;20994;01239;20993;
09879;12352;02471;19761;01238;20994;01238;20994;
09879;12353;02470;19761;01239;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20993;
09879;12353;02470;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01238;20994;01238;20993;
09879;12352;02471;19762;01238;20994;01238;20993;
09879;12352;02470;19761;01239;20994;01239;20994;
09878;12353;02470;19761;01239;20992;01239;20994;
09880;12352;02470;19761;01238;20993;01238;20993;
09879;12353;02470;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01239;20994;01238;20993;
09879;12352;02471;19762;01239;20994;01239;20993;
09878;12353;02470;19761;01239;20993;01239;20994;
09880;12352;02470;19761;01238;20993;01239;20993;
09879;12353;02470;19761;01238;20993;01238;20994;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01239;20993;01238;20993;
09879;12352;02471;19762;01239;20993;01239;20993;
09879;12353;02470;19761;01239;20994;01239;20993;
09879;12352;02470;19761;01238;20994;01239;20994;
09879;12353;02470;19761;01238;20993;01239;20993;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12353;02471;19761;01238;20993;01239;20993;
09880;12352;02471;19761;01239;20993;01238;20993;
09879;12352;02471;19762;01239;20993;01239;20993;
09879;12352;02471;19761;01239;20994;01239;20994;
09879;12353;02471;19761;01238;20993;01239;20993;
09880;12352;02470;19761;01238;20993;01238;20994;
09879;12353;02472;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01238;20993;01238;20993;
09879;12352;02471;19762;01238;20993;01238;20993;
09880;12352;02471;19762;01239;20993;01239;20993;
09879;12353;02470;19761;01239;20994;01238;20994;
09880;12352;02470;19761;01238;20993;01239;20994;
09880;12353;02470;19761;01238;20993;01238;20994;
09880;12352;02470;19761;01238;20993;01238;20994;
09879;12352;02471;19761;01238;20993;01238;20993;
09880;12352;02471;19761;01238;20994;01238;20993;
09879;12352;02471;19762;01239;20993;01239;20993;
09879;12352;02470;19761;01239;20993;01239;20994;
09880;12353;02470;19761;01239;20993;01238;20994;
09880;12352;02471;19761;01238;20993;01238;20994;
09879;12353;02470;19761;01238;20993;01238;20993;
09880;12353;02470;19761;01238;20993;01238;20993;
09879;12352;02471;19762;01238;20994;01238;20993;
09879;12353;02471;19762;01239;20993;01239;20993;
09879;12353;02470;19762;01238;20994;01239;20994;
09880;12352;02470;19761;01239;20994;01238;20994;
09879;12353;02471;19761;01238;20993;01238;20994;
09880;12352;02471;19761;01238;20993;01238;20993;
